City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Rikitea,PF,77.86,few clouds,-23.1203,-134.9692,People ThankYou
4,Chuy,UY,78.44,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
9,Tabou,CI,80.13,overcast clouds,4.423,-7.3528,hotêl doufoulougou
12,Arraial Do Cabo,BR,78.76,heavy intensity rain,-22.9661,-42.0278,Pousada Porto Praia
16,Bengkulu,ID,75.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Buala,SB,80.56,light rain,-8.145,159.5921,Maringe Lagoon Lodge
25,Hilo,US,78.12,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
26,Salinopolis,BR,83.84,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
31,Sao Filipe,CV,76.64,clear sky,14.8961,-24.4956,Hotel Xaguate
35,Atuona,PF,79.09,few clouds,-9.8,-139.0333,Villa Enata
36,Banda Aceh,ID,78.24,scattered clouds,5.5577,95.3222,Sulthan Hotel International
57,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
63,Lorengau,PG,81.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Morondava,MG,81.59,scattered clouds,-20.2833,44.2833,La Case Bambou
69,Grand Gaube,MU,77.4,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
71,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Kailua,US,76.14,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
76,Mahebourg,MU,77.29,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Kahului,US,78.06,few clouds,20.8947,-156.47,Maui Seaside Hotel
80,Penalva,BR,82.54,light rain,-3.2942,-45.1736,Hotel São José
88,Del Rio,US,79.81,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
89,Butaritari,KI,80.2,light rain,3.0707,172.7902,Isles Sunset Lodge
91,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
100,Georgetown,MY,81.95,few clouds,5.4112,100.3354,Cititel Penang
103,Batouri,CM,76.42,broken clouds,4.4333,14.3667,Hotel Hollywood
104,Mar Del Plata,AR,80.62,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
108,Nabire,ID,75.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
112,Gurupa,BR,84.36,overcast clouds,-1.405,-51.64,Hotel Vitória
117,San Policarpo,PH,79.68,overcast clouds,12.1791,125.5072,Agapita M. Nicart
120,Havelock,US,80.55,clear sky,34.8791,-76.9013,Sherwood Motel
122,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
136,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
138,San Patricio,US,81.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
139,Oistins,BB,84.29,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
140,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
141,Carnarvon,AU,78.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
142,Vila Velha,BR,82.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
144,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
145,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
146,Majene,ID,77.58,light rain,-3.5403,118.9707,Kost Putri RABBANI
151,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
158,Lafia,NG,85.93,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
165,Ocala,US,82.96,broken clouds,29.1872,-82.1401,Golden Palms Inn & Suites
171,Vanimo,PG,77.31,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
174,Caravelas,BR,80.2,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
178,Otukpo,NG,81.68,overcast clouds,7.1913,8.1329,Queen s Hotel
179,Cairns,AU,78.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
180,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
183,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
188,Champerico,GT,87.76,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
194,Qui Nhon,VN,75.2,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
196,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
198,Acuitzio,MX,75.88,clear sky,20.345,-101.9771,Auto Hotel A Fonte
200,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
202,Cabinda,AO,77.63,overcast clouds,-5.55,12.2,Hotel Maiombe
204,Dondo,MZ,76.51,overcast clouds,-19.6094,34.7431,Arco Iris
208,Kingsville,US,81.01,haze,27.5159,-97.8561,Econo Lodge Kingsville
211,Kavaratti,IN,80.96,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
212,Piacabucu,BR,80.91,clear sky,-10.4056,-36.4344,Piaçabuçu News
219,Batticaloa,LK,77.5,overcast clouds,7.7102,81.6924,Grand Star Guest House
222,Ende,ID,78.62,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
228,Saint-Leu,RE,76.06,overcast clouds,-21.15,55.2833,La Caz Oceane
233,Cayenne,GF,80.64,light rain,4.9333,-52.3333,Hôtel Le Dronmi
234,Manaus,BR,86.5,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
239,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Poutur Pousada
245,Pundaguitan,PH,79.97,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
247,Gamboma,CG,76.19,light rain,-1.8764,15.8644,Residence N'Keni
256,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
259,Harper,LR,80.2,broken clouds,4.375,-7.7169,Screensaver
260,Cabo San Lucas,MX,81.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
261,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
264,Victor Harbor,AU,77.09,clear sky,-35.5667,138.6167,McCracken Country Club
266,Labuhan,ID,78.12,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
269,Bandundu,CD,76.21,overcast clouds,-3.3167,17.3667,Coja Color
274,Lomas De Sargentillo,EC,86.58,overcast clouds,-1.8833,-80.0833,TALLER AUTOMOTRIZ GARY OLVERA
279,Hukuntsi,BW,81.81,clear sky,-24.0,21.75,Entabeni Hotel
284,Bubaque,GW,79.99,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
288,Mayumba,GA,76.24,broken clouds,-3.432,10.6554,LIKWALE LODGE
289,Mount Isa,AU,78.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
296,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
299,Bom Jesus,BR,78.98,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
310,Poum,NC,80.29,overcast clouds,-20.2333,164.0167,Gîte kajeon
312,Summerville,US,80.11,few clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
315,Vaitape,PF,81.07,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
316,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
319,Sinnamary,GF,78.48,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
322,San Matias,BO,89.13,overcast clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
330,Abonnema,NG,79.39,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
331,Acapulco,MX,83.75,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
333,Garchitorena,PH,76.46,overcast clouds,13.8804,123.6946,Site
335,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
337,Meulaboh,ID,76.51,light rain,4.1363,96.1285,Kost Pria
343,Honiara,SB,79.81,overcast clouds,-9.4333,159.95,Heritage Park Hotel
348,Sao Jose Da Coroa Grande,BR,81.19,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
351,Sena Madureira,BR,80.17,moderate rain,-9.0656,-68.6569,Hotel Central
352,Kavieng,PG,82.83,broken clouds,-2.5744,150.7967,Nusa Island Retreat
354,Neiafu,TO,79.48,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
358,Rocha,UY,86.0,clear sky,-34.4833,-54.3333,Hotel Arrarte
359,Banfora,BF,82.2,overcast clouds,10.6333,-4.7667,Residences David Hebié
363,Hambantota,LK,75.11,overcast clouds,6.1241,81.1185,Bungalow 63
365,Senador Jose Porfirio,BR,86.02,overcast clouds,-2.5908,-51.9542,Pousada Novo Horizonte
367,Ambulu,ID,76.32,light rain,-8.345,113.6058,Hotel Ambulu Jember
369,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
370,Faanui,PF,81.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
371,Rio Grande,BR,82.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
372,Eyl,SO,75.9,few clouds,7.9803,49.8164,Amiin Hotel
376,Princeton,US,85.01,broken clouds,25.5384,-80.4089,American Best Inn
378,Acarau,BR,83.84,moderate rain,-2.8856,-40.12,castelo pizzaria
379,Ellisras,ZA,82.83,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
381,Bac Lieu,VN,78.48,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
404,Axim,GH,81.0,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
405,Ahuimanu,US,75.2,light rain,21.4447,-157.8378,Paradise Bay Resort
406,Florida,US,84.22,clear sky,28.7505,-82.5001,Sportsmens Cove
409,Farafangana,MG,76.55,light rain,-22.8167,47.8333,Miarina
414,Karratha,AU,81.41,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
417,Sungai Padi,TH,80.38,broken clouds,6.0851,101.8766,237บอล&บาส
422,Placido De Castro,BR,83.84,overcast clouds,-10.3353,-67.1856,Hotel Carioca
425,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
433,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
434,Tonj,SS,81.43,broken clouds,7.2737,28.6822,Lakan Hotel
435,Le Port,RE,77.0,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
437,Palimbang,PH,77.07,overcast clouds,6.2106,124.1894,Felmar Beach resort
438,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
440,Gigmoto,PH,77.14,overcast clouds,13.7796,124.39,Cj's Travellers Inn
450,Mahanoro,MG,75.54,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
457,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
459,Sao Raimundo Nonato,BR,83.34,broken clouds,-9.0153,-42.6994,Real Hotel
463,Moerai,PF,78.22,light rain,-22.4333,-151.3333,Le Manotel
464,Visconde Do Rio Branco,BR,79.09,broken clouds,-21.0103,-42.8406,Rio Branco palace hotel
465,Acajutla,SV,87.8,clear sky,13.5928,-89.8275,asi es
466,Necochea,AR,82.04,light rain,-38.5473,-58.7368,dyd -mar Hotel
469,Sao Miguel Do Araguaia,BR,75.38,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
471,Mandiana,GN,79.14,clear sky,10.6333,-8.6833,Motels rouzo
473,Puerto El Triunfo,SV,84.76,few clouds,13.2833,-88.55,Hotel Jardin
474,El Seibo,DO,87.33,clear sky,18.7641,-69.0375,Defensa Civil del Seibo
476,Altamira,BR,87.89,scattered clouds,-3.2033,-52.2064,Requinte Hotel
479,Pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
483,Pitimbu,BR,84.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
484,Cap Malheureux,MU,77.49,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
493,Pisco,PE,75.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
494,Limbang,MY,80.91,overcast clouds,4.75,115.0,Purnama Hotel
496,Kota Belud,MY,76.86,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
497,Saint Pete Beach,US,84.25,clear sky,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
498,Bandarbeyla,SO,76.57,clear sky,9.4942,50.8122,JABIR HOTEL
505,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
506,Teapa,MX,87.57,clear sky,17.55,-92.95,Hotel Quintero
508,Sechura,PE,78.33,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
515,Paita,PE,82.96,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
516,Siparia,TT,85.82,few clouds,10.1333,-61.5,Brook Gardens
517,Nhulunbuy,AU,84.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
523,Maningrida,AU,79.41,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
526,Sao Gabriel Da Cachoeira,BR,84.0,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
527,Muisne,EC,84.31,overcast clouds,0.6,-80.0333,Quinta Samay
528,The Valley,AI,82.26,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
531,Mitsamiouli,KM,81.32,overcast clouds,-11.3847,43.2844,Foyer ADM
532,Key Largo,US,83.01,scattered clouds,25.0865,-80.4473,Bayside Inn Key Largo
534,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
535,Los Algarrobos,PA,87.46,few clouds,8.5,-82.4333,Waterfall Hostel
536,Ewa Beach,US,75.43,broken clouds,21.3156,-158.0072,Uncle Junior Robert
555,Guasdualito,VE,86.0,scattered clouds,7.2424,-70.7324,Hotel Cuibas
556,Kirakira,SB,80.58,moderate rain,-10.4544,161.9205,SanBiz Lodge
558,Virginia Beach,US,75.24,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
561,Iacu,BR,83.57,broken clouds,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
564,Alyangula,AU,82.27,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
570,Tarakan,ID,76.5,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
572,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
578,Inhambane,MZ,75.18,scattered clouds,-23.865,35.3833,Oceano
582,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
590,Murray Bridge,AU,76.75,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
597,Aquiraz,BR,84.29,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
607,Punta Alta,AR,86.77,scattered clouds,-38.8759,-62.0736,Center Hotel Punta Alta
611,Baculin,PH,77.36,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
613,Matnog,PH,77.83,overcast clouds,12.5878,124.0875,RGT Hotel
614,Biak,ID,75.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
615,Mackay,AU,75.18,overcast clouds,-21.15,149.2,International Lodge Motel
617,Baragua,CU,89.49,clear sky,21.6967,-78.6328,Hotel Itabo
619,Port Blair,IN,79.95,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
624,Aguas Formosas,BR,79.3,light rain,-17.0822,-40.9358,HAVAY PALACE HOTEL
628,Lake City,US,80.65,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
630,Guarapari,BR,78.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
634,Playa Vicente,MX,85.78,clear sky,17.8333,-95.8167,"Hotel ""Imperio"""
639,Lubao,PH,76.14,overcast clouds,14.9167,120.55,Hacienda Gracia
642,Tamandare,BR,81.21,clear sky,-8.7597,-35.1047,Pousada 100 Passos
643,Tupaciguara,BR,77.97,light rain,-18.5922,-48.705,Hotel Tupaciguara
646,Kudahuvadhoo,MV,81.68,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
650,Sao Felix Do Xingu,BR,82.81,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
652,Jales,BR,84.52,moderate rain,-20.2689,-50.5458,Geraldelli Center Hotel
653,Sao Miguel Do Guama,BR,84.06,overcast clouds,-1.6267,-47.4833,Hotel Rio Guamá
655,San Vicente,AR,75.45,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
657,Puerto Escondido,MX,85.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
658,Kintampo,GH,82.06,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
661,Kieta,PG,80.44,light rain,-6.2167,155.6333,Uruna Bay Retreat
664,Karonga,MW,80.19,scattered clouds,-9.9333,33.9333,Sumuka Inn
671,Belmonte,BR,81.1,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
672,Kota Kinabalu,MY,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
690,Kudat,MY,77.68,overcast clouds,6.8837,116.8477,Dream Garden Hotel
691,Petauke,ZM,78.73,broken clouds,-14.2426,31.3253,Newline Lodge
